machine_id,plant,production_line,machine_type,shift,operator_experience_years,machine_age_years,ambient_temperature_c,humidity_pct,vibration_mm_s,hydraulic_pressure_bar,motor_current_a,rpm,production_rate_units_hr,defect_rate_pct,downtime_hours_30d,maintenance_count,days_since_maintenance,power_factor,oil_temperature_c,bearing_temperature_c,load_percent,noise_db,material_grade,lubricant_type,supplier_tier,inspection_status,batch_size,machine_energy_kwh,maintenance_risk
118835,Chennai,L3,CNC,Afternoon,9.8,12.55,29.25,98.0,3.116,6.53,19.64,2335.8,112.9,2.625,3.48,3,19.7,0.953,51.09,44.25,76.29,74.6,HighStrength,Synthetic,,Rework,344,39.19,Medium
100736,Hyderabad,L1,Milling,Afternoon,0.2,9.14,27.87,63.55,2.284,7.81,30.47,2477.5,107.2,1.382,0.81,1,31.0,0.879,60.54,50.44,73.22,69.54,Standard,Synthetic,Local,Pass,382,40.39,Low
120211,Ahmedabad,L1,Lathe,Night,9.68,3.82,27.89,57.28,2.662,7.27,32.25,3558.0,146.4,7.156,0.44,1,10.3,0.942,48.81,46.1,80.38,75.77,Standard,Synthetic,Local,Pass,297,47.36,Low
118587,Chennai,L5,Robot,Afternoon,10.7,7.11,22.2,68.56,1.457,7.64,38.33,3419.4,94.6,7.787,1.02,1,130.7,0.903,55.07,42.14,71.95,70.1,Recycled,Bio,Tier3,Pass,773,58.99,Medium
105358,Pune,L1,Compressor,Morning,5.13,2.73,31.78,79.86,2.873,8.63,30.06,2456.5,78.3,9.551,0.24,1,75.6,0.912,,55.14,58.85,70.34,Recycled,Mineral,Tier2,Pass,984,39.78,High
115278,Hyderabad,L3,Robot,Morning,8.24,2.53,27.55,70.84,2.964,5.35,24.64,2924.1,131.8,9.674,0.08,0,57.6,0.859,47.51,48.25,66.6,68.74,Premium,Synthetic,Tier1,Pass,497,34.41,Medium
110463,Chennai,L4,CNC,Night,7.22,7.66,26.56,46.97,1.864,4.65,37.74,2944.0,138.6,4.621,4.17,1,125.1,0.895,50.87,44.56,91.52,72.03,Standard,Mineral,Tier2,Pass,994,67.71,Medium
115044,Bengaluru,L5,Lathe,Night,14.12,2.44,30.39,72.04,2.154,6.25,35.54,2227.3,102.1,7.321,0.16,0,10.3,0.911,51.2,54.02,79.32,73.11,Standard,Synthetic,Local,Pass,984,41.66,Low
111986,Pune,L1,Lathe,Afternoon,7.19,2.51,27.46,71.2,4.588,7.97,18.51,2941.5,85.6,5.319,0.52,1,135.7,0.831,52.11,47.55,66.48,72.69,Premium,None,Local,Pass,485,25.63,Medium
113827,Pune,L5,Milling,Afternoon,7.86,3.05,26.48,37.97,2.329,9.86,26.55,2598.1,103.0,4.464,2.71,0,15.6,0.911,50.3,48.05,74.79,68.63,Recycled,Synthetic,Local,Pass,865,46.68,Low
118170,Hyderabad,L3,Compressor,Night,9.43,2.89,22.73,49.35,2.743,6.8,20.81,3583.2,98.4,4.378,2.02,1,15.0,0.927,53.95,38.97,72.57,71.31,Standard,None,Tier2,Pass,456,37.77,Low
105338,Hyderabad,L4,Milling,Morning,4.71,9.21,26.47,66.5,3.665,8.01,36.04,1657.7,125.4,6.044,1.23,2,99.1,0.95,54.17,41.66,76.95,69.15,HighStrength,Mineral,Local,Minor_Issue,361,50.43,Low
113545,Chennai,L1,Compressor,Afternoon,12.68,9.77,27.39,46.13,2.857,4.54,29.49,1694.3,81.8,11.542,0.54,2,11.9,0.876,57.5,51.01,69.74,70.73,Standard,Mineral,Local,Pass,201,39.35,Low
114064,Pune,L3,Compressor,Morning,2.46,6.58,31.48,65.0,4.067,7.62,35.62,2913.2,124.3,1.067,1.55,2,13.2,0.97,57.04,43.87,68.92,73.12,Recycled,Mineral,Tier1,Pass,1022,54.33,Low
102735,Pune,L4,Milling,Morning,6.63,3.32,36.02,72.22,1.808,7.47,34.94,2543.1,184.5,4.866,1.63,2,25.4,0.88,57.76,49.47,97.81,74.4,Standard,Synthetic,Tier1,Pass,672,65.08,Medium
121770,Bengaluru,L4,Lathe,Morning,6.24,5.16,31.15,90.35,2.712,5.71,45.47,2360.8,142.8,7.642,0.8,2,118.9,0.851,52.3,,97.95,71.64,HighStrength,Mineral,Tier3,Pass,323,71.98,High
101191,Bengaluru,L4,Lathe,Night,3.17,9.6,29.41,61.75,5.353,3.52,21.34,3734.1,119.3,6.67,0.84,4,49.7,0.863,62.52,44.05,68.75,73.21,Standard,Synthetic,Tier1,Pass,361,46.64,Low
117493,Hyderabad,L1,Robot,Morning,2.63,2.64,24.92,64.87,4.274,6.62,25.04,3341.8,96.8,0.927,1.51,1,87.7,0.791,45.64,50.42,68.96,75.75,Recycled,Synthetic,Tier1,Pass,697,50.21,Medium
118713,Chennai,L3,Milling,Night,7.01,3.23,38.61,84.85,2.191,7.27,22.03,2447.2,101.2,4.951,0.87,0,12.3,0.899,60.1,62.79,78.37,70.23,Premium,Mineral,Tier1,Pass,438,35.06,Medium
104200,Chennai,L6,Compressor,Afternoon,3.6,4.64,24.47,69.17,1.124,7.06,27.91,2522.0,111.9,5.845,1.77,0,16.9,0.838,55.34,44.83,78.39,71.94,Premium,Synthetic,Tier2,Pass,830,49.14,Low
112464,Chennai,L6,Compressor,Afternoon,10.19,3.99,22.07,51.3,2.815,7.39,29.35,2370.5,134.3,13.621,1.31,4,1.9,0.834,41.35,42.53,82.06,67.71,Standard,Synthetic,Local,Pass,615,55.17,Low
100937,Ahmedabad,L5,Robot,Morning,8.69,4.5,29.92,57.01,3.654,7.03,23.24,2911.9,154.7,4.596,0.62,0,257.6,0.887,57.24,56.18,82.97,71.68,HighStrength,Mineral,Tier1,Pass,726,43.88,High
101198,Hyderabad,L4,CNC,Afternoon,,10.11,24.28,98.0,,7.64,33.82,2458.0,69.6,6.599,0.15,0,77.6,0.82,50.95,37.38,63.3,70.18,Premium,Mineral,Tier1,Pending,887,50.4,Medium
104510,Pune,L4,Lathe,Afternoon,5.86,8.47,34.12,28.28,1.401,7.16,34.5,2301.0,125.5,9.957,2.1,2,167.1,0.936,58.62,49.17,80.44,73.71,HighStrength,Synthetic,Tier2,Rework,370,59.31,High
115815,Chennai,L5,Robot,Morning,2.53,6.08,25.52,57.37,,7.14,32.97,2149.0,65.9,9.523,0.7,2,24.8,0.977,46.2,46.13,52.8,65.71,Recycled,Synthetic,Tier3,Pass,656,36.6,Low
112531,Chennai,L1,Press,Morning,5.5,2.9,22.08,53.58,1.118,7.49,27.08,2943.9,128.9,12.38,1.68,0,141.1,0.907,43.35,36.49,80.45,73.54,Premium,Synthetic,Tier1,Pass,463,55.29,Medium
112700,Bengaluru,L3,CNC,Afternoon,1.17,10.1,26.99,36.48,3.084,7.45,35.35,2370.3,83.1,7.857,3.41,0,24.2,0.99,56.66,45.19,64.1,69.18,Recycled,Synthetic,Tier3,Pass,709,52.9,Low
102352,Ahmedabad,L6,Press,Afternoon,4.33,6.24,24.63,57.45,2.229,7.24,41.26,2443.8,123.2,7.047,0.99,3,45.3,0.931,51.74,47.75,86.41,73.69,Premium,Mineral,Tier1,Pass,341,59.62,Low
101035,Pune,L2,Press,Afternoon,3.31,6.9,25.29,64.55,5.534,7.29,25.88,2550.0,89.3,1.869,0.87,0,28.4,0.941,46.15,47.33,62.83,72.68,Recycled,Synthetic,Tier1,Pass,566,41.33,Low
102256,Bengaluru,L3,Milling,Morning,6.99,1.69,23.52,68.17,3.235,7.25,40.68,2606.1,101.4,3.959,0.53,1,73.9,0.966,,40.71,72.96,68.62,Standard,Mineral,Tier2,Pass,222,57.9,Medium
120097,Ahmedabad,L3,Milling,Morning,7.5,12.97,29.24,65.74,1.414,6.48,30.13,1892.4,235.4209270478516,5.694,0.53,3,78.2,0.971,60.98,50.04,59.25,74.02,Recycled,Synthetic,Tier3,Pass,1015,42.08,Medium
113986,Pune,L3,Lathe,Afternoon,8.26,7.12,34.42,56.95,0.8,6.72,27.82,3757.7,109.8,9.168,1.03,1,40.1,0.928,61.45,50.28,72.54,68.18,Standard,None,Tier1,Minor_Issue,660,50.88,Low
112586,Pune,L4,Milling,Morning,8.37,8.58,32.81,75.24,1.963,9.32,33.05,2573.4,169.2,10.833,2.22,1,69.4,0.861,66.73,45.08,87.67,70.77,Standard,Mineral,Local,Pass,637,62.64,Medium
